train iter 0, val loss: 0.681, test loss: 0.682
train iter 20, lr: 1e-04, loss: 0.699
train iter 40, lr: 1e-04, loss: 0.688
train iter 60, lr: 1e-04, loss: 0.716
train iter 80, lr: 1e-04, loss: 0.702
train iter 100, lr: 1e-04, loss: 0.713
train iter 120, lr: 1e-04, loss: 0.719
train iter 140, lr: 1e-04, loss: 0.698
train iter 160, lr: 1e-04, loss: 0.702
train iter 180, lr: 1e-04, loss: 0.709
train iter 200, lr: 1e-04, loss: 0.709
train iter 220, lr: 1e-04, loss: 0.707
train iter 240, lr: 1e-04, loss: 0.699
train iter 260, lr: 1e-04, loss: 0.693
train iter 280, lr: 1e-04, loss: 0.698
train iter 300, lr: 1e-04, loss: 0.701
train iter 320, lr: 1e-04, loss: 0.687
train iter 340, lr: 1e-04, loss: 0.698
train iter 360, lr: 1e-04, loss: 0.713
train iter 380, lr: 1e-04, loss: 0.700
train iter 400, lr: 1e-04, loss: 0.706
train iter 420, lr: 1e-04, loss: 0.700
train iter 440, lr: 1e-04, loss: 0.697
train iter 460, lr: 1e-04, loss: 0.705
train iter 480, lr: 1e-04, loss: 0.698
train iter 500, lr: 1e-04, loss: 0.702
train iter 520, lr: 1e-04, loss: 0.695
train iter 540, lr: 1e-04, loss: 0.695
train iter 560, lr: 1e-04, loss: 0.687
train iter 580, lr: 1e-04, loss: 0.702
train iter 600, lr: 1e-04, loss: 0.697
train iter 620, lr: 1e-04, loss: 0.690
train iter 640, lr: 1e-04, loss: 0.702
train iter 660, lr: 1e-04, loss: 0.692
train iter 680, lr: 1e-04, loss: 0.711
train iter 700, lr: 1e-04, loss: 0.703
train iter 720, lr: 1e-04, loss: 0.694
train iter 740, lr: 1e-04, loss: 0.668
train iter 760, lr: 1e-04, loss: 0.705
train iter 780, lr: 1e-04, loss: 0.713
train iter 800, lr: 1e-04, loss: 0.689
train iter 820, lr: 1e-04, loss: 0.688
train iter 840, lr: 1e-04, loss: 0.695
train iter 860, lr: 1e-04, loss: 0.697
train iter 880, lr: 1e-04, loss: 0.697
train iter 900, lr: 1e-04, loss: 0.691
train iter 920, lr: 1e-04, loss: 0.721
train iter 940, lr: 1e-04, loss: 0.675
train iter 960, lr: 1e-04, loss: 0.678
train iter 980, lr: 1e-04, loss: 0.721
train iter 1000, val loss: 0.685, test loss: 0.685
train iter 1000, lr: 1e-04, loss: 0.724
train iter 1020, lr: 1e-04, loss: 0.708
train iter 1040, lr: 1e-04, loss: 0.731
train iter 1060, lr: 1e-04, loss: 0.686
train iter 1080, lr: 1e-04, loss: 0.699
train iter 1100, lr: 1e-04, loss: 0.677
train iter 1120, lr: 1e-04, loss: 0.688
train iter 1140, lr: 1e-04, loss: 0.690
train iter 1160, lr: 1e-04, loss: 0.666
train iter 1180, lr: 1e-04, loss: 0.730
train iter 1200, lr: 1e-04, loss: 0.658
train iter 1220, lr: 1e-04, loss: 0.697
train iter 1240, lr: 1e-04, loss: 0.674
train iter 1260, lr: 1e-04, loss: 0.692
train iter 1280, lr: 1e-04, loss: 0.668
train iter 1300, lr: 1e-04, loss: 0.687
train iter 1320, lr: 1e-04, loss: 0.681
train iter 1340, lr: 1e-04, loss: 0.720
train iter 1360, lr: 1e-04, loss: 0.718
train iter 1380, lr: 1e-04, loss: 0.698
train iter 1400, lr: 1e-04, loss: 0.718
train iter 1420, lr: 1e-04, loss: 0.690
train iter 1440, lr: 1e-04, loss: 0.714
train iter 1460, lr: 1e-04, loss: 0.708
train iter 1480, lr: 1e-04, loss: 0.690
train iter 1500, lr: 1e-04, loss: 0.677
train iter 1520, lr: 1e-04, loss: 0.702
train iter 1540, lr: 1e-04, loss: 0.651
train iter 1560, lr: 1e-04, loss: 0.703
train iter 1580, lr: 1e-04, loss: 0.687
train iter 1600, lr: 1e-04, loss: 0.682
train iter 1620, lr: 1e-04, loss: 0.692
train iter 1640, lr: 1e-04, loss: 0.648
train iter 1660, lr: 1e-04, loss: 0.643
train iter 1680, lr: 1e-04, loss: 0.656
train iter 1700, lr: 1e-04, loss: 0.659
train iter 1720, lr: 1e-04, loss: 0.671
train iter 1740, lr: 1e-04, loss: 0.681
train iter 1760, lr: 1e-04, loss: 0.710
train iter 1780, lr: 1e-04, loss: 0.642
train iter 1800, lr: 1e-04, loss: 0.714
train iter 1820, lr: 1e-04, loss: 0.660
train iter 1840, lr: 1e-04, loss: 0.608
train iter 1860, lr: 1e-04, loss: 0.708
train iter 1880, lr: 1e-04, loss: 0.699
train iter 1900, lr: 1e-04, loss: 0.677
train iter 1920, lr: 1e-04, loss: 0.695
train iter 1940, lr: 1e-04, loss: 0.643
train iter 1960, lr: 1e-04, loss: 0.741
train iter 1980, lr: 1e-04, loss: 0.689
train iter 2000, val loss: 0.696, test loss: 0.698
train iter 2000, lr: 1e-04, loss: 0.679
train iter 2020, lr: 1e-04, loss: 0.692
train iter 2040, lr: 1e-04, loss: 0.735
