train iter 10, lr: 1e-04, loss: 0.296
train iter 20, lr: 1e-04, loss: 0.300
train iter 30, lr: 1e-04, loss: 0.278
train iter 40, lr: 1e-04, loss: 0.302
train iter 50, lr: 1e-04, loss: 0.240
train iter 60, lr: 1e-04, loss: 0.281
train iter 70, lr: 1e-04, loss: 0.229
train iter 80, lr: 1e-04, loss: 0.271
train iter 90, lr: 1e-04, loss: 0.262
train iter 100, lr: 1e-04, loss: 0.269
train iter 110, lr: 1e-04, loss: 0.286
train iter 120, lr: 1e-04, loss: 0.261
train iter 130, lr: 1e-04, loss: 0.263
train iter 140, lr: 1e-04, loss: 0.219
train iter 150, lr: 1e-04, loss: 0.209
train iter 160, lr: 1e-04, loss: 0.170
train iter 170, lr: 1e-04, loss: 0.211
train iter 180, lr: 1e-04, loss: 0.221
train iter 190, lr: 1e-04, loss: 0.228
train iter 200, lr: 1e-04, loss: 0.215
train iter 210, lr: 1e-04, loss: 0.233
train iter 220, lr: 1e-04, loss: 0.252
train iter 230, lr: 1e-04, loss: 0.216
train iter 240, lr: 1e-04, loss: 0.202
train iter 250, lr: 1e-04, loss: 0.235
train iter 260, lr: 1e-04, loss: 0.248
train iter 270, lr: 1e-04, loss: 0.200
train iter 280, lr: 1e-04, loss: 0.279
train iter 290, lr: 1e-04, loss: 0.214
train iter 300, lr: 1e-04, loss: 0.223
train iter 310, lr: 1e-04, loss: 0.205
train iter 320, lr: 1e-04, loss: 0.205
train iter 330, lr: 1e-04, loss: 0.266
train iter 340, lr: 1e-04, loss: 0.251
train iter 350, lr: 1e-04, loss: 0.211
train iter 360, lr: 1e-04, loss: 0.198
train iter 370, lr: 1e-04, loss: 0.206
train iter 380, lr: 1e-04, loss: 0.265
train iter 390, lr: 1e-04, loss: 0.225
train iter 400, lr: 1e-04, loss: 0.219
train iter 410, lr: 1e-04, loss: 0.190
train iter 420, lr: 1e-04, loss: 0.212
train iter 430, lr: 1e-04, loss: 0.184
train iter 440, lr: 1e-04, loss: 0.244
train iter 450, lr: 1e-04, loss: 0.206
train iter 460, lr: 1e-04, loss: 0.173
train iter 470, lr: 1e-04, loss: 0.266
train iter 480, lr: 1e-04, loss: 0.189
train iter 490, lr: 1e-04, loss: 0.231
train iter 500, lr: 1e-04, loss: 0.243
train iter 510, lr: 1e-04, loss: 0.218
train iter 520, lr: 1e-04, loss: 0.203
train iter 530, lr: 1e-04, loss: 0.236
train iter 540, lr: 1e-04, loss: 0.203
train iter 550, lr: 1e-04, loss: 0.169
train iter 560, lr: 1e-04, loss: 0.214
train iter 570, lr: 1e-04, loss: 0.182
train iter 580, lr: 1e-04, loss: 0.216
train iter 590, lr: 1e-04, loss: 0.204
train iter 600, lr: 1e-04, loss: 0.221
train iter 610, lr: 1e-04, loss: 0.208
train iter 620, lr: 1e-04, loss: 0.184
train iter 630, lr: 1e-04, loss: 0.189
train iter 640, lr: 1e-04, loss: 0.186
train iter 650, lr: 1e-04, loss: 0.192
train iter 660, lr: 1e-04, loss: 0.159
train iter 670, lr: 1e-04, loss: 0.150
train iter 680, lr: 1e-04, loss: 0.233
train iter 690, lr: 1e-04, loss: 0.206
train iter 700, lr: 1e-04, loss: 0.222
train iter 710, lr: 1e-04, loss: 0.184
train iter 720, lr: 1e-04, loss: 0.175
train iter 730, lr: 1e-04, loss: 0.194
train iter 740, lr: 1e-04, loss: 0.224
train iter 750, lr: 1e-04, loss: 0.193
train iter 760, lr: 1e-04, loss: 0.221
train iter 770, lr: 1e-04, loss: 0.207
train iter 780, lr: 1e-04, loss: 0.229
train iter 790, lr: 1e-04, loss: 0.200
train iter 800, lr: 1e-04, loss: 0.232
train iter 810, lr: 1e-04, loss: 0.219
train iter 820, lr: 1e-04, loss: 0.239
train iter 830, lr: 1e-04, loss: 0.161
train iter 840, lr: 1e-04, loss: 0.225
train iter 850, lr: 1e-04, loss: 0.234
train iter 860, lr: 1e-04, loss: 0.255
train iter 870, lr: 1e-04, loss: 0.185
train iter 880, lr: 1e-04, loss: 0.421
train iter 890, lr: 1e-04, loss: 0.212
train iter 900, lr: 1e-04, loss: 0.194
train iter 910, lr: 1e-04, loss: 0.166
train iter 920, lr: 1e-04, loss: 0.221
train iter 930, lr: 1e-04, loss: 0.188
train iter 940, lr: 1e-04, loss: 0.250
train iter 950, lr: 1e-04, loss: 0.248
train iter 960, lr: 1e-04, loss: 0.170
train iter 970, lr: 1e-04, loss: 0.201
train iter 980, lr: 1e-04, loss: 0.219
train iter 990, lr: 1e-04, loss: 0.197
train iter 1000, val loss: 0.262
train iter 1000, lr: 1e-04, loss: 0.192
train iter 1010, lr: 1e-04, loss: 0.227
train iter 1020, lr: 1e-04, loss: 0.217
train iter 1030, lr: 1e-04, loss: 0.245
train iter 1040, lr: 1e-04, loss: 0.230
train iter 1050, lr: 1e-04, loss: 0.576
train iter 1060, lr: 1e-04, loss: 0.203
train iter 1070, lr: 1e-04, loss: 0.213
train iter 1080, lr: 1e-04, loss: 0.238
train iter 1090, lr: 1e-04, loss: 0.162
train iter 1100, lr: 1e-04, loss: 0.266
train iter 1110, lr: 1e-04, loss: 0.205
train iter 1120, lr: 1e-04, loss: 0.192
train iter 1130, lr: 1e-04, loss: 0.199
train iter 1140, lr: 1e-04, loss: 0.187
train iter 1150, lr: 1e-04, loss: 0.239
train iter 1160, lr: 1e-04, loss: 0.198
train iter 1170, lr: 1e-04, loss: 0.230
train iter 1180, lr: 1e-04, loss: 0.167
train iter 1190, lr: 1e-04, loss: 0.236
train iter 1200, lr: 1e-04, loss: 0.237
train iter 1210, lr: 1e-04, loss: 0.212
train iter 1220, lr: 1e-04, loss: 0.156
train iter 1230, lr: 1e-04, loss: 0.221
train iter 1240, lr: 1e-04, loss: 0.194
train iter 1250, lr: 1e-04, loss: 0.179
train iter 1260, lr: 1e-04, loss: 0.200
train iter 1270, lr: 1e-04, loss: 0.177
train iter 1280, lr: 1e-04, loss: 0.209
train iter 1290, lr: 1e-04, loss: 0.224
train iter 1300, lr: 1e-04, loss: 0.233
train iter 1310, lr: 1e-04, loss: 0.245
train iter 1320, lr: 1e-04, loss: 0.236
train iter 1330, lr: 1e-04, loss: 0.185
train iter 1340, lr: 1e-04, loss: 0.207
train iter 1350, lr: 1e-04, loss: 0.269
train iter 1360, lr: 1e-04, loss: 0.170
train iter 1370, lr: 1e-04, loss: 0.247
train iter 1380, lr: 1e-04, loss: 0.273
train iter 1390, lr: 1e-04, loss: 0.192
train iter 1400, lr: 1e-04, loss: 0.178
train iter 1410, lr: 1e-04, loss: 0.258
train iter 1420, lr: 1e-04, loss: 0.255
train iter 1430, lr: 1e-04, loss: 0.223
train iter 1440, lr: 1e-04, loss: 0.229
train iter 1450, lr: 1e-04, loss: 0.224
train iter 1460, lr: 1e-04, loss: 0.219
train iter 1470, lr: 1e-04, loss: 0.205
train iter 1480, lr: 1e-04, loss: 0.188
train iter 1490, lr: 1e-04, loss: 0.201
train iter 1500, lr: 1e-04, loss: 0.248
train iter 1510, lr: 1e-04, loss: 0.198
train iter 1520, lr: 1e-04, loss: 0.261
train iter 1530, lr: 1e-04, loss: 0.194
train iter 1540, lr: 1e-04, loss: 0.190
train iter 1550, lr: 1e-04, loss: 0.155
train iter 1560, lr: 1e-04, loss: 0.199
train iter 1570, lr: 1e-04, loss: 0.155
train iter 1580, lr: 1e-04, loss: 0.180
train iter 1590, lr: 1e-04, loss: 0.211
train iter 1600, lr: 1e-04, loss: 0.155
train iter 1610, lr: 1e-04, loss: 0.219
train iter 1620, lr: 1e-04, loss: 0.178
train iter 1630, lr: 1e-04, loss: 0.215
train iter 1640, lr: 1e-04, loss: 0.228
train iter 1650, lr: 1e-04, loss: 0.238
train iter 1660, lr: 1e-04, loss: 0.183
train iter 1670, lr: 1e-04, loss: 0.182
train iter 1680, lr: 1e-04, loss: 0.220
train iter 1690, lr: 1e-04, loss: 0.210
train iter 1700, lr: 1e-04, loss: 0.199
train iter 1710, lr: 1e-04, loss: 0.226
train iter 1720, lr: 1e-04, loss: 0.185
train iter 1730, lr: 1e-04, loss: 0.171
train iter 1740, lr: 1e-04, loss: 0.251
train iter 1750, lr: 1e-04, loss: 0.183
train iter 1760, lr: 1e-04, loss: 0.221
train iter 1770, lr: 1e-04, loss: 0.199
train iter 1780, lr: 1e-04, loss: 0.212
train iter 1790, lr: 1e-04, loss: 0.182
train iter 1800, lr: 1e-04, loss: 0.163
train iter 1810, lr: 1e-04, loss: 0.199
train iter 1820, lr: 1e-04, loss: 0.200
train iter 1830, lr: 1e-04, loss: 0.198
train iter 1840, lr: 1e-04, loss: 0.184
train iter 1850, lr: 1e-04, loss: 0.225
train iter 1860, lr: 1e-04, loss: 0.184
train iter 1870, lr: 1e-04, loss: 0.242
train iter 1880, lr: 1e-04, loss: 0.180
train iter 1890, lr: 1e-04, loss: 0.200
train iter 1900, lr: 1e-04, loss: 0.207
train iter 1910, lr: 1e-04, loss: 0.219
train iter 1920, lr: 1e-04, loss: 0.210
train iter 1930, lr: 1e-04, loss: 0.225
train iter 1940, lr: 1e-04, loss: 0.190
train iter 1950, lr: 1e-04, loss: 0.214
train iter 1960, lr: 1e-04, loss: 0.204
train iter 1970, lr: 1e-04, loss: 0.218
train iter 1980, lr: 1e-04, loss: 0.227
train iter 1990, lr: 1e-04, loss: 0.172
train iter 2000, val loss: 0.219
train iter 2000, lr: 1e-04, loss: 0.239
train iter 2010, lr: 1e-04, loss: 0.256
train iter 2020, lr: 1e-04, loss: 0.220
train iter 2030, lr: 1e-04, loss: 0.185
train iter 2040, lr: 1e-04, loss: 0.241
train iter 2050, lr: 1e-04, loss: 0.180
train iter 2060, lr: 1e-04, loss: 0.180
train iter 2070, lr: 1e-04, loss: 0.151
train iter 2080, lr: 1e-04, loss: 0.189
train iter 2090, lr: 1e-04, loss: 0.206
train iter 2100, lr: 1e-04, loss: 0.203
train iter 2110, lr: 1e-04, loss: 0.205
train iter 2120, lr: 1e-04, loss: 0.221
train iter 2130, lr: 1e-04, loss: 0.261
train iter 2140, lr: 1e-04, loss: 0.195
train iter 2150, lr: 1e-04, loss: 0.216
train iter 2160, lr: 1e-04, loss: 0.164
train iter 2170, lr: 1e-04, loss: 0.187
train iter 2180, lr: 1e-04, loss: 0.230
